Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Access,City-wide emissions inventory,Accounting year,Administrative city boundary,Inventory boundary (compared to Administrative city boundary),Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC),Gases Included,Direct emissions (metric tonnes CO2e) for Total generation of grid-supplied energy,Direct emissions (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary (metric tonnes CO2e) for Total Generation of grid supplied energy,Emissions occurring outside city boundary (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),TOTAL Scope 1 Emissions (metric tonnes CO2e),TOTAL Scope 2 emissions (metric tonnes CO2e),TOTAL Scope 3 Emissions,TOTAL BASIC Emissions (GPC),TOTAL BASIC+ Emissions (GPC),Change in emissions,Primary reason for the change in emissions,Land area (in square km),Population,Population Year,City Location,Last update
2020,848478,Banyuwangi City,,Indonesia,Southeast Asia and Oceania,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Banyuwangi will calculate the inventory and input the datas into city database then transfer to GHG software calculation developed by Bumi Global Karbon and  will be verified by TUV Rheinland,,"CH4, CO2, N20",,,,,,,9395676,889898,2625151,,,This is our first year of calculation,"Other, please specify: This is our first year of calculation",5782.5,1745675,2019,,2021-07-16T02:03:37.903
2020,50383,Prefeitura de Sorocaba,Sorocaba,Brazil,Latin America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"No inventário de GEE de Sorocaba, foi adotado o nível de reporte BASIC, que engloba as emissões comuns a praticamente todas as cidades:•	Energia Estacionária (escopo 1 e 2)•	Transporte dentro dos limites da cidade (escopo 1 e 2)•	Resíduos gerados dentro dos limites da cidade (escopo 1)•	Tratamento de resíduos enviados para outras cidades (escopo 3)",Yes,"CH4, CO2, N20",,1040652,,188917,,262852,,,,,,Increased,Change in accounting methodology,450,679378,2019,POINT (-47.4221 -23.4775),2021-07-16T02:03:37.903
2020,55371,Municipalidad de Vicente López,Vicente López,Argentina,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,34.45,270929,2010,POINT (-68.833 -32.8941),2021-07-16T02:03:37.903
2020,54113,City of Flagstaff,Flagstaff,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,667175.73,,247816.41,,24728.47,,,,,,Increased,"Other, please specify: We have collected more information and have corrected inaccuracies.",165.42,75038,2019,POINT (-111.631 35.1992),2021-07-16T02:03:37.903
2020,848135,San Pedro de la Paz,,Chile,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,112.5,131808,2017,,2021-07-16T02:03:37.903
2020,50578,City of Windsor,Windsor,Canada,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The 2018 Community GHG Inventory has been inputted into the updated ICLEI Canada PCP tool.  The PCP tool has been updated to align with the Global Covenant of Mayors Common Reporting Framework.  The GHG reporting framework is built upon the Emission Inventory Guidance, used by the European Covenant of Mayors and the Global Protocol for Community Scale Greenhouse Gas Emission Inventories (GPC), used by the Compact of Mayors.  Both refer to the 2006 Intergovernmental Panel on Climate Change (IPCC) Guidelines for National Greenhouse Gas Inventories.",Yes,"CH4, CO2, N20",,2072005.65,,,,,,,,,,Increased,Increased energy/electricity consumption,146.3,233763,2018,POINT (-83.0364 42.3149),2021-07-16T02:03:37.903
2020,73703,City of Port Phillip,,Australia,Southeast Asia and Oceania,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,422725,853034,147541,1423300,,Do not know,,21,115601,2019,,2021-07-16T02:03:37.903
2020,35858,City of Cape Town,Cape Town,South Africa,Africa,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",305594,9060450,,11549547,,2546915,,,,,,Decreased,"Other, please specify: Decline in electricity related emissions and total liquid fuels sales. Waste emissions reported have dropped but it is unlikely this reflects an actual drop.",2456,4400240,2018,POINT (18.4239 -33.9253),2021-07-16T02:03:37.903
2020,31112,Kaohsiung City Government,Kaohsiung,"Taiwan, Greater China",East Asia,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify: ""Guidelines for the Calculation of Greenhouse Gases in the County and City Levels"" revised version on April 2017 (version: 1.0)","In order to assist local cities to handle emissions baseline, and make sure it follows the standard of MRV, the national government formulated  the ""Guidelines for the Calculation of Greenhouse Gases in the County and City Levels"" revised version on April 2017  (version: 1.0). In addition, Kaohsiung City Government applied the “Guidelines for Greenhouse Gas Emissions Investigation” (released on July 2016), and ISO 14064-1:2006 standard as the basis to conduct inventory review of the administrative jurisdiction. The City Government also used city-level greenhouse gas inventory calculation form to calculate the city-wide GHG emissions.",,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,,,Increased,Increased energy/electricity consumption,2947.62,2773198,2019,POINT (120.344 22.6297),2021-07-16T02:03:37.903
2020,73759,Jambi City,,Indonesia,Southeast Asia and Oceania,public,In progress,2018-01-01 - 2018-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",,,,,,,,,,,,,,175.53,604378,2019,,2021-07-16T02:03:37.903
2020,36282,Comune di Chieti,Chieti,Italy,Europe,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,59.57,52125,2018,POINT (14.1399 42.3828),2021-07-16T02:03:37.903
2020,31176,Prefeitura do Rio de Janeiro,Rio de Janeiro,Brazil,Latin America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),GPC + 2006 IPCC Guidelines,Yes,"CH4, CO2, N20",5774783.21,14757840,,1934328,,3869733,,,,,,Decreased,"Other, please specify:  Various reasons",1204,6520266,2017,POINT (-43.5614 -22.9054),2021-07-16T02:03:37.903
2020,60272,Prefeitura de Campina Grande,Campina Grande,Brazil,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,593026,410332,2017,POINT (-35.8808 -7.2291),2021-07-16T02:03:37.903
2020,58613,City of York Council,York,United Kingdom of Great Britain and Northern Ireland,Europe,public,Yes,2019-11-01 - 2020-11-01,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,The emission factors used are the default factors in the SCATTER Tool,,"CH4, CO2, N20",1490.6,690400.15,0,257477.31,275.31,211351.02,,,,,,This is our first year of calculation,,272,209900,2019,,2021-07-16T02:03:37.903
2020,49327,City of Providence,Providence,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2, N20",,1941206,,527900,,27994,,,,,,Decreased,"Other, please specify: Industrial decline due to reduction in emissions from power plant",53.35,179883,2019,POINT (-71.4128 41.824),2021-07-16T02:03:37.903
2020,54104,City of Boulder,Boulder,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The city reports to the BASIC level,Yes,"CH4, CO2, N20",,768765,,722735,,205554,,,,,,Decreased,Technological change,70.7,107100,2019,POINT (-105.252 40.0274),2021-07-16T02:03:37.903
2020,73749,Nagpur,,India,South and West Asia,public,Yes,2017-04-01 - 2018-03-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,1420435,,1503658,,,,,,,,,,227.38,2405665,2011,,2021-07-16T02:03:37.903
2020,73667,San Rafael de Heredia,,Costa Rica,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,48.9,55269,2020,,2021-07-16T02:03:37.903
2020,35867,Region Metropolitana de Guadalajara,Guadalajara,Mexico,Latin America,public,Yes,2016-01-01 - 2016-12-31,Metropolitan area,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Inventario nivel Básico.,Yes,"CH4, CO2, N20",,,,,,,,,,,,This is our first year of calculation,,3265.46,4865122,2015,POINT (-103.35 20.6597),2021-07-16T02:03:37.903
2020,54646,Prefeitura de Duque de Caxias,Duque de Caxias,Brazil,Latin America,public,,,Independent province: Local government area within a city/metropolitian area,,,,,,,,,,,,,,,,,,,,886917,2016,POINT (-43.3033 -22.8062),2021-07-16T02:03:37.903
2020,54293,People's Government of Guangzhou Municipality,Guangzhou,China,East Asia,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,,,"CH4, CO2, HFCs, NF3, PFCs, SF6",,,,,,,,,,,,,,7436,14904400,2018,POINT (113.264 23.1291),2021-07-16T02:03:37.903
2020,845304,Santa Ana (Costa Rica),,Costa Rica,Latin America,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,61.42,60453,2020,,2021-07-16T02:03:37.903
2020,60233,Pärnu City Government,Pärnu,Estonia,Europe,public,Not intending to undertake,,Local government area within a greater city / metropolitan area,,,,,,,,,,,,,,,,,,,85807,51504,2020,POINT (24.4966 58.3858),2021-07-16T02:03:37.903
2020,46473,City of Zaragoza,Zaragoza,Spain,Europe,public,In progress,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify: CORINAIR",,,"CH4, CO2, N20",,,,,,,,,,,,,,973.8,674997,2019,POINT (-0.88701 41.6086),2021-07-16T02:03:37.903
2020,63601,"Township of Maplewood, NJ",Maplewood,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,Used Sustainable Jersey's Community Carbon Footprint Calculator but changed the CO2e emissions factors to 14.8 lbs per therm to account for some estimated fugitive emissions for natural gas in Scope 1  and used  eGRID2018 emissions factor of 0.720 lbs/kWh for RFC East grid electricity times the total kWh for Scope 2.,,"CH4, CO2, N20",,,,,,,94000,38700,0,,,Decreased,Change in weather conditions,10,25380,2019,POINT (-74.27 40.73),2021-07-16T02:03:37.903
2020,848407,Junta Intermunicipal de Medio Ambiente del Ayuquila Alto,,Mexico,Latin America,public,,,Intercommunality,,,,,,,,,,,,,,,,,,,4314,84288,2015,,2021-07-16T02:03:37.903
2020,13506,Nottingham City Council,Nottingham,United Kingdom of Great Britain and Northern Ireland,Europe,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",1913.98,846215.69,0,432285.73,344.66,323316.8,,,,,,This is our first year of calculation,Lack of knowledge overcome,74.64,332900,2019,,2021-07-16T02:03:37.903
2020,834167,Kochi Municipal Corporation,KOCHI,India,South and West Asia,public,Yes,2018-04-01 - 2019-03-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,1033969,,443742,,20104,,,,,,This is our first year of calculation,,107.13,601574,2011,POINT (76.2673 9.93123),2021-07-16T02:03:37.903
2020,54078,City of Hayward,Hayward,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,865306.3,,75117,,,,,,,,Decreased,"Other, please specify: The biggest decrease in emissions has been in the electricity sector, as our electricity provider works towards California's RPS and is increasing renewable energy on the grid.",165,161456,2017,POINT (-122.081 37.6689),2021-07-16T02:03:37.903
2020,55801,City of West Palm Beach,West Palm Beach,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",469813.11,783518,,667696,,,,,,,,Decreased,Technological change,150.1,115176,2019,POINT (-80.0534 26.7153),2021-07-16T02:03:37.903
2020,826103,Ayuntamiento de Casimiro Castillo,Casimiro Castillo,Mexico,Latin America,public,In progress,-,Special city,Same – covers entire city and nothing else,Regional or country specific methodology,,,,,,,,,,,,,,,,,529,21475,2010,POINT (-104.436 19.6031),2021-07-16T02:03:37.903
2020,55325,Município de Águeda,Águeda,Portugal,Europe,public,Yes,2013-01-01 - 2013-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"O inventário de referência de emissões foi elaborado dentro do enquadramento do Pacto de Autarcas. Os factores de emissão considerados estão de acordo com a APA e são específicos para Portugal e para o concelho de Águeda. Foram recolhidos dados históricos e estatísticos, utilizando um conjunto extenso de fontes oficiais municipais e nacionais, entre cujas referências foram consideradas destaca-se o Eurostat, a Agência Europeia do Ambiente, a Agência Internacional de Energia, a Direção-Geral de Mobilidade e Transportes da Comissão Europeia, a Direção-Geral de Energia da Comissão Europeia, o Centro Comum de Investigação da Comissão Europeia (JRC), a Organização para a Cooperação e Desenvolvimento Económico e naturalmente os organismos nacionais relevantes como sejam a Direção Geral de Energia e Geologia, a Agência Portuguesa do Ambiente, a Entidade Reguladora dos Serviços Energéticos e o Instituto Nacional de Estatística. Na elaboração dos inventários foi considerado o fator de emissões de IPCC e de LCA (Life Cicle Assessment).",,CO2,134500,200609,0,60118,0,,,,,,,Decreased,Technological change,335,47729,2011,POINT (-8.44582 40.5753),2021-07-16T02:03:37.903
2020,49389,Kyoto,Kyoto,Japan,East Asia,public,Yes,2018-04-01 - 2019-03-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,3636204,,2904444,,,,,,,,,,827.8,1461218,2020,,2021-07-16T02:03:37.903
2020,834255,Municipality of Guaymallén,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,663466.21,0,167530.77,0,134047.37,,,,,,Decreased,"Other, please specify",164,324272,2018,,2021-07-16T02:03:37.903
2020,43909,City of Orlando,Orlando,United States of America,North America,public,Yes,2018-10-01 - 2019-09-30,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,CO2,,,,,,,,,,,,Decreased,Change in weather conditions,295,287442,2019,POINT (-81.3792 28.5383),2021-07-16T02:03:37.903
2020,832274,Município de Odemira,,Portugal,Europe,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,1721,26066,2011,,2021-07-16T02:03:37.903
2020,63562,"City of South Bend, IN",South Bend,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Calculated using ICLEI ClearPath,Yes,"CH4, CO2, N20",,805302.88,,354924.72,,81308.88,,,,,,This is our first year of calculation,"Other, please specify: First year of calculation",107.38,102026,2019,POINT (41.6754 -86.2532),2021-07-16T02:03:37.903
2020,54360,Shah Alam City Council,,Malaysia,Southeast Asia and Oceania,public,Yes,2015-01-01 - 2015-12-31,City / Municipality,Smaller – covers only part of the city,"Other, please specify: Low Carbon City Framework","The Low Carbon Cities Framework and Assessment System or better known as the LCCF is a systemdeveloped by my ministry. The purpose of this system is to assist our stakeholders such as developers,local councils, town planners, non-governmental organizations (NGO’s) and the public to lower the levelsof carbon emission in our cities towards achieving sustainable urban developments.This system serves as a guide that will propel stakeholders for cities, townships and neighbourhoods to re-assesstheir priorities in the planning and developing of new projects, as well as strategies that can be taken by existingcities, townships and neighborhoods in reducing their carbon emission levels. Besides serving as acomprehensive guide, the LCCF also has an inbuilt carbon calculator with carbon equivalents that would helpstakeholders assess their current baseline levels of the cities, townships and neighbourhood and target their intended levels",,CO2,,,,,,,,,,,,Decreased,Behavioural change,290.3,671200,2019,,2021-07-16T02:03:37.903
2020,50673,Município de Faro,Faro,Portugal,Europe,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,202.57,61015,2019,POINT (-7.93044 37.0194),2021-07-16T02:03:37.903
2020,74453,"City of Highland Park, IL",,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,Local government area within a greater city / metropolitan area,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The data management format of this protocol is straightforward and accessible, and works easily with the basic software available to our team.  Our emissions data comes from multiple sources (internal records, local utilities, contracted waste hauler, etc.), and our team includes volunteer residents as well as staff and consultants, so being able to use Excel as the data entry and analysis tool is very important.   Our city does not have any Scope 1 emissions other than transportation, therefore we do not require a complex GHG calculation methodology.",Yes,"CH4, CO2, N20, NF3, SF6",0,37164,0,267807,0,0,,,,,,Stayed the same,Emissions have not changed,31.73,29767,2019,,2021-07-16T02:03:37.903
2020,35865,Municipality of Fortaleza,Fortaleza,Brazil,Latin America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"O Inventário foi elaborado a partir da ferramenta Curb Tool, disponibilizada pelo Banco Mundial  em um treinamento que ocorreu na cidade de Buenos Aires.",Yes,"CH4, CO2, HFCs, N20",,,,,,,,,,,,Decreased,Change in accounting methodology,314,2643247,2018,POINT (-48.3936 -10.7183),2021-07-16T02:03:37.903
2020,59562,"City of Urbana, IL",,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,,,,,,,,,,,,,,,30,41250,2010,,2021-07-16T02:03:37.903
2020,74546,"City of Milwaukie, OR",,United States of America,North America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,CO2,,,,,,,129406,115814,273277,,,,,13.18,20291,2010,,2021-07-16T02:03:37.903
2020,68385,Municipio La Chorrera,Chorrera,Panama,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,769.8,161470,2010,POINT (-79.7736 8.88289),2021-07-16T02:03:37.903
2020,60229,Municipality of Arendal,Arendal,Norway,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",,123657,,,,,,,,,,Increased,Improved data accuracy,270,44999,2019,POINT (8.77245 58.4618),2021-07-16T02:03:37.903
2020,845317,Quemú Quemú,,Argentina,Latin America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",,153381.76,,2638.66,,428.43,,,,,,This is our first year of calculation,"Other, please specify",950,4305,2016,,2021-07-16T02:03:37.903
2020,74401,"City of Encinitas, CA",Encinitas,United States of America,North America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,The California Adaptation Planning Guide (APG),,"CH4, CO2, HFCs, N20, PFCs",,390600,,,,,,,,,,Decreased,"Other, please specify: Combination of factors",51,62038,2016,POINT (-117.293 33.0454),2021-07-16T02:03:37.903
2020,31180,Región Metropolitana de Santiago,Santiago,Chile,Latin America,public,Yes,2016-01-01 - 2016-12-31,Metropolitan area,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"In the Metropolitan Region the GHG inventory was made with the BASIC-GPC protocol.Also the Environment Ministry will publish this year the actualization of the regionalization of the GHG inventory of Chile by 2016, this inventory considers 2006 IPCC guidelines to report and has the compilation of data since 1990 (link: www.snichile.cl).",No,"CH4, CO2, N20",,,,,,,16244641,7814351,2596311,23173131,,Decreased,Change in calculation following verification,15403,8125072,2020,POINT (-70.6693 -33.4489),2021-07-16T02:03:37.903
2020,52897,City of Aspen,Aspen,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The inventory is also compliant with the guidelines that are laid out in the U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI).,No,"CH4, CO2, N20",,,,,,,186961,82643,35715,305319,,Decreased,"Other, please specify: Electric utility generation mix changes toward renewable energy.",9.5,9003,2017,POINT (-106.837 39.195),2021-07-16T02:03:37.903
2020,54274,Rotorua Lakes Council,Rotorua,New Zealand,Southeast Asia and Oceania,public,Yes,2018-07-01 - 2019-06-30,"Other, please specify: District",Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, HFCs, N20, PFCs, SF6",,1668358,,46680,,18957,,,,,,Increased,Behavioural change,2615,71877,2018,,2021-07-16T02:03:37.903
2020,74671,Kadıköy,,Turkey,Europe,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",,,,,,,973180,430846,105276,,,Decreased,"Other, please specify: Decrease of population resulting from Urban Transformation",25.2,482713,2019,POINT (29.0585 40.98),2021-07-16T02:03:37.903
2020,2430,City of Burlington,Burlington,United States of America,North America,public,Yes,2015-01-01 - 2015-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,"Other, please specify: Local Government Greenhouse Gas (GHG) Emissions Analysis Protocol developed by the Climate Registry and ICLEI",,,CO2,0,359615,,,,,,,,,,Decreased,"Other, please specify: Change in energy source",27.5,42284,2015,POINT (-73.2121 44.4759),2021-07-16T02:03:37.903
2020,826380,Junta Intermunicipal de la Cuenca Baja del Rio Ayuquila (JIRA),,Mexico,Latin America,public,Not intending to undertake,,"Other, please specify: Intermunicipalidad",,,,,,,,,,,,,,,,,,,4200,144000,2015,,2021-07-16T02:03:37.903
2020,36410,City of Memphis,Memphis,United States of America,North America,public,In progress,2016-01-01 - 2016-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,,"CH4, CO2, N20",,,,,,,,,,,,,,841.75,651073,2019,POINT (-90.049 35.1495),2021-07-16T02:03:37.903
2020,60374,Alcaldía de Ibagué,Ibagué,Colombia,Latin America,public,Intending to undertake in the next 2 years,,Local government area within a greater city / metropolitan area,,,,,,,,,,,,,,,,,,,1439,564077,2017,POINT (-75.24 4.44851),2021-07-16T02:03:37.903
2020,31146,Addis Ababa City Administration,Addis Ababa,Ethiopia,Africa,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,9856045,,540,,4622548,,,,,,Increased,Increased energy/electricity consumption,540,3689000,2020,POINT (38.7544 9.02887),2021-07-16T02:03:37.903
2020,832838,Town of Wellfleet,Wellfleet,United States of America,North America,public,Yes,2019-07-01 - 2020-06-30,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,12178,,7016,,21869,,,,,,,,53.017,3500,2018,POINT (-70.031 41.9305),2021-07-16T02:03:37.903
2020,54700,Prefeitura Municipal de Sumaré,Sumaré,Brazil,Latin America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"O levantamento foi realizado pelas empresas WayCarbon e ICLEI, por contrato pela prefeitura municipal de Campinas, em 2018 com base em dados de 2016 dos 20 municípios que compõem a região metropolitana de Campinas.  Para a elaboração desse inventário, foi utilizado o método proposto pelo GPC (Global Protocol for Community-Scale Greenhouse Gas Emission Inventories), desenvolvido pelo ICLEI, WRI (World Resources Institute) e C40 (Climate Leadership Group) em 2014, tendo como base o guia nacional de inventários, publicado em 2006 pelo IPCC (Intergovernmental Pannel on ClimateChange).",,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,,,This is our first year of calculation,Lack of resource / funding overcome,153465,278571,2019,POINT (-47.2669 -22.8219),2021-07-16T02:03:37.903
2020,69824,Västervik,Västervik Municipality,Sweden,Europe,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,Statistics from Statistics Swedenand RUShttp://extra.lansstyrelsen.se/rus/Sv/statistik-och-data/nationell-emissionsdatabas/Pages/default.asp,,"CH4, CO2, HFCs, N20, PFCs, SF6",,,,,,,218000,,,,,Decreased,Technological change,1875,36679,2020,POINT (16.3484 57.9587),2021-07-16T02:03:37.903
2020,60307,Prefeitura de Nova Friburgo,,Brazil,Latin America,public,Not intending to undertake,,City / Municipality,,,,,,,,,,,,,,,,,,,935.4,182082,2010,,2021-07-16T02:03:37.903
2020,54641,Prefeitura de Limeira,Limeira,Brazil,Latin America,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,580711,276022,2010,POINT (-47.3974 -22.5665),2021-07-16T02:03:37.903
2020,35860,City of Dallas,Dallas,United States of America,North America,public,Yes,2015-01-01 - 2015-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Clear Path from ICLEI was the primary tool used to develop the inventory.  This is consistent with the GPC.,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,10046614,9748609,569381,19527127,20364604,Decreased,"Other, please specify: Decreased emissions from electricity generation.  Also lower emissions from transportation",997,1345047,2018,POINT (-96.8004 32.7801),2021-07-16T02:03:37.903
2020,43938,"The Executive Council, Govt of Dubai",Dubai,United Arab Emirates,Middle East,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,City specific methodology,The GPC  is used along with the revised IPCC 1996 Guidelines to calculate the city-wide GHG emissions of Dubai.,,"CH4, CO2, N20",22500437,26362398,0,0,0,0,,,,,,Increased,Population increase,4477,3335900,2019,POINT (55.2708 25.2048),2021-07-16T02:03:37.903
2020,60278,Prefeitura de Fernandópolis,Fernandópolis,Brazil,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,"Dados obtidos através da Secretaria Estadual de Infraestrutura e Meio Ambiente, disponível em: http://dadosenergeticos.energia.sp.gov.br/portalcev2/index.html",,CO2,,,,,,,,,,,,Decreased,"Other, please specify: Não conhecido.",549797,68823,2018,POINT (-50.2475 -20.2858),2021-07-16T02:03:37.903
