Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,New Georeferenced Column
Bonneville Power Administration - WA Only - statewide,2012,Power Plants,Electrical Transmission and Distribution,221121,Electric Bulk Power Transmission and Control,US Government,Vancouver,Clark,Southwest Clean Air Agency,26927,0,0,0,0,0,0,26927,0,,2,"(45.661178, -122.658608)",POINT (-122.658608 45.661178)
Avfuel Corporation,2016,Transportation Fuel Supplier,Transportation Fuel Supplier,424700,Petroleum and Petroleum Products Merchant Wholesalers,CRS Acquisition,NA,NA,NA,32347,0,32347,0,0,0,0,0,0,,,,
REG Grays Harbor LLC - Hoquiam,2016,Petroleum Systems,Other Petroleum Systems,325199,All Other Basic Organic Chemical Manufacturing,Renewable Energy Group Inc.,Hoquiam,Grays Harbor,Olympic Region Clean Air Agency,18051,0,18032,9,10,0,0,0,0,,1,"(46.968196, -123.853622)",POINT (-123.853622 46.968196)
Puget Sound Energy - Whitehorn Generating Station - Blaine,2018,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Blaine,Whatcom,Northwest Clean Air Agency,44531,0,44485,21,25,0,0,0,0,,2,"(48.885475, -122.724299)",POINT (-122.724299 48.885475)
"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",2015,Wood Products,Lumber Mills,321912,"Cut Stock, Resawing Lumber, and Planing",Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,57294,56539,0,109,647,0,0,0,0,,2,"(48.609799, -118.067441)",POINT (-118.06744099999999 48.609799)
Ash Grove Cement Company - Seattle,2015,Minerals,Cement Production,327310,Cement Manufacturing,Ash Grove Cement Co.,Seattle,King,Puget Sound Clean Air Agency,495030,0,494557,369,104,0,0,0,0,,3,"(47.56799, -122.34255)",POINT (-122.34255 47.56799)
Cheyne Landfill - Zillah,2020,Waste,Landfills,562212,Solid Waste Landfill,Yakima County Public Services - Solid Waste Division,Zillah,Yakima,Yakima Regional Clean Air Agency,42145,0,0,42145,0,0,0,0,0,,2,"(46.4785, -120.2688)",POINT (-120.26880000000001 46.478500000000004)
LRI Landfill - Graham,2014,Waste,Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Graham,Pierce,Puget Sound Clean Air Agency,57749,0,0,57749,0,0,0,0,0,,2,"(46.972405, -122.292799)",POINT (-122.292799 46.972405)
CHS Inc.,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,4247,Petroleum and Petroleum Products Merchant Wholesalers,CHS Inc.,NA,NA,NA,705927,0,705927,0,0,0,0,0,0,,,,
Avista Corporation - WA State DOE Reporting - statewide,2020,Natural Gas Systems,Natural Gas Local Distribution Companies,221121,Electric Bulk Power Transmission and Control,Avista Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,16464,0,19,15973,0,0,0,472,0,,1,,
Michelsen Packaging - Yakima,2020,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Michelson Packaging Co.,Yakima,Yakima,Yakima Regional Clean Air Agency,10532,0,10521,5,6,0,0,0,0,,1,"(46.604058, -120.513015)",POINT (-120.513015 46.604058)
Puget Sound Energy - Mint Farm Generating Station - Longview,2014,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Longview,Cowlitz,Southwest Clean Air Agency,508640,0,508124,236,281,0,0,0,0,,3,"(46.140095, -122.985138)",POINT (-122.98513800000002 46.140095)
CHS Inc.,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,4247,Petroleum and Petroleum Products Merchant Wholesalers,CHS Inc.,NA,NA,NA,707879,0,707879,0,0,0,0,0,0,,,,
Puget Sound Energy - Fredonia Generating Station - Mount Vernon,2017,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Mount Vernon,Skagit,Northwest Clean Air Agency,97134,0,97033,46,55,0,0,0,0,,2,"(48.4553, -122.435)",POINT (-122.43499999999999 48.4553)
The Boeing Company: Boeing Plant 2 - Seattle,2019,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Seattle,King,Puget Sound Clean Air Agency,21774,0,21751,10,12,0,0,0,0,,1,"(47.532524, -122.311623)",POINT (-122.31162300000001 47.532524)
"SEH America, Inc - Vancouver",2020,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,SEH America Inc.,Vancouver,Clark,Southwest Clean Air Agency,10896,0,10885,5,6,0,0,0,0,,1,"(45.649912, -122.553612)",POINT (-122.55361199999999 45.649912)
"Interfor US, Inc. - Port Angeles",2020,Wood Products,Lumber Mills,321113,Sawmills,Interfor US Inc.,Port Angeles,Clallam,Olympic Region Clean Air Agency,39881,39355,0,76,450,0,0,0,0,,2,"(48.103425, -123.518642)",POINT (-123.518642 48.103425)
U.S. Department of Energy Hanford Site - Richland,2015,Government,Other Government,924110,Administration of Air and Water Resource and Solid Waste Management Programs,US Government,Richland,Benton,Ecology: NWP,15494,0,5571,9912,10,0,0,0,0,,1,"(46.55069, -119.489007)",POINT (-119.48900700000002 46.55069)
Lamb Weston - Warden,2018,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Ochoa AG Unlimited Foods Inc.,Warden,Grant,Ecology: Eastern Regional Office,18006,0,17987,9,10,0,0,0,0,,1,"(46.971504, -119.055427)",POINT (-119.05542700000001 46.971504)
Northwest Hardwoods Inc. - Centralia,2019,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Centralia,Lewis,Southwest Clean Air Agency,9349,6127,3137,13,72,0,0,0,0,,1,"(46.734454, -122.991963)",POINT (-122.99196300000001 46.734454)
Northwest Pipeline Willard C/S - Cook,2019,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Cook,Skamania,Southwest Clean Air Agency,30842,0,28544,2283,16,0,0,0,0,,2,"(45.778087, -121.626311)",POINT (-121.62631100000002 45.778087)
Sierra Pacific Industries - Centralia,2018,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Centralia,Lewis,Southwest Clean Air Agency,42446,41887,0,81,479,0,0,0,0,,2,"(46.756413, -122.995433)",POINT (-122.99543300000002 46.756413)
Graymont Western US. Inc. - Tacoma,2017,Minerals,Lime Production,327410,Lime Manufacturing,"Graymont, Inc.",Tacoma,Pierce,Puget Sound Clean Air Agency,23,0,23,0,0,0,0,0,0,Facility shut down.,1,"(47.271365, -122.397262)",POINT (-122.39726200000001 47.271365)
Hidden Valley Landfill - Puyallup,2019,Waste,Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Puyallup,Pierce,Puget Sound Clean Air Agency,7434,0,0,7434,0,0,0,0,0,First year reporting.  Voluntary reporter.,1,"(47.095, -122.2878)",POINT (-122.2878 47.095)
Great Western Malt - Vancouver,2016,Food Production,Other Food Products,311213,Malt Manufacturing,Great Western Malt,Vancouver,Clark,Southwest Clean Air Agency,17085,0,17067,8,10,0,0,0,0,,1,"(45.631069, -122.690043)",POINT (-122.69004299999999 45.631069)
King County Solid Waste Cedar Hills Landfill - Maple Valley,2012,Waste,Landfills,562212,Solid Waste Landfill,King County Solid Waste Division,Maple Valley,King,Puget Sound Clean Air Agency,99258,0,206,99051,1,0,0,0,0,Assigned emissions level: reported under obsolete method.,2,"(47.462625, -122.046025)",POINT (-122.046025 47.462625)
Tesoro Refining & Marketing Company LLC,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,324110,Petroleum Refineries,Marathon Petroleum Corp,NA,NA,NA,5227977,294543,4933434,0,0,0,0,0,0,,,,
Alon Asphalt Company - Seattle,2014,Petroleum Systems,Other Petroleum Systems,324121,Asphalt Paving Mixture and Block Manufacturing,Delek US Holdings Inc.,Seattle,King,Puget Sound Clean Air Agency,16004,0,15976,19,9,0,0,0,0,,1,"(47.781642, -122.395299)",POINT (-122.39529900000001 47.781642)
Nippon Dynawave - Longview,2012,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Nippon Paper Industries USA Co Ltd,Longview,Cowlitz,Ecology: Industrial Section,1681296,1296860,352583,11150,20703,0,0,0,0,Emissions include units that split to become North Pacific Paper Company in 2016.,4,"(46.130495, -122.983637)",POINT (-122.98363700000002 46.130495)
SDS Lumber Company - Bingen,2013,Wood Products,Lumber Mills,321113,Sawmills,SDS Lumber Company,Bingen,Klickitat,Ecology: Central Regional Office,106615,105116,95,202,1202,0,0,0,0,,3,"(45.713913, -121.468688)",POINT (-121.468688 45.713913000000005)
Weyerhaeuser Raymond Lumber - Raymond,2014,Wood Products,Lumber Mills,321113,Sawmills,Weyerhaeuser Co.,Raymond,Pacific,Olympic Region Clean Air Agency,41976,41423,0,80,474,0,0,0,0,,2,"(46.688088, -123.737495)",POINT (-123.73749500000001 46.688088)
Bonneville Power Administration - WA Only - statewide,2017,Power Plants,Electrical Transmission and Distribution,221121,Electric Bulk Power Transmission and Control,US Government,Vancouver,Clark,Southwest Clean Air Agency,15069,0,0,0,0,0,0,15069,0,,1,"(45.661178, -122.658608)",POINT (-122.658608 45.661178)
The Boeing Company: Boeing Plant 2 - Seattle,2013,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Seattle,King,Puget Sound Clean Air Agency,24004,0,23980,11,13,0,0,0,0,,1,"(47.532524, -122.311623)",POINT (-122.31162300000001 47.532524)
United Parcel Service Co,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,481112,Scheduled Freight Air Transportation,"UPS, Inc.",NA,NA,NA,50987,0,50987,0,0,0,0,0,0,,,,
U.S. Oil & Refining Co. - Tacoma,2016,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Par Pacific Holdings Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,146049,0,144562,1008,479,0,0,0,0,,3,"(47.256813, -122.394952)",POINT (-122.394952 47.256813)
Seattle-Tacoma International Airport - Seattle,2019,Government,Other Government,488119,Other Airport Operations,Port of Seattle,Seattle,King,Puget Sound Clean Air Agency,13610,0,13596,6,8,0,0,0,0,,1,"(47.443643, -122.302452)",POINT (-122.302452 47.443643)
McKinley Paper Co. - Washington Mill - Port Angeles,2018,Pulp and Paper,Other Pulp and Paper,322121,Paper (except Newsprint) Mills,Nippon Paper Industries USA Co Ltd,Port Angeles,Clallam,Olympic Region Clean Air Agency,4189,0,0,4189,0,0,0,0,0,,1,"(48.134623, -123.467524)",POINT (-123.46752400000001 48.134623)
United Parcel Service Co,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,481112,Scheduled Freight Air Transportation,"UPS, Inc.",NA,NA,NA,62975,0,62975,0,0,0,0,0,0,,,,
Spectrum Glass Company - Woodinville,2015,Minerals,Glass Production,327211,Flat Glass Manufacturing,Vanguard Properties Co.,Woodinville,King,Puget Sound Clean Air Agency,10750,0,10740,5,5,0,0,0,0,,1,"(47.777004, -122.148978)",POINT (-122.14897799999999 47.777004)
Pettit Oil Company,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,454310,Fuel Dealers,Pacific Oil Products Co,NA,NA,NA,697411,34092,663319,0,0,0,0,0,0,,,,
J.R. Simplot Company - Othello,2015,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Othello,Adams,Ecology: Eastern Regional Office,87686,0,45538,42123,26,0,0,0,0,,2,"(46.837778, -119.176389)",POINT (-119.17638900000001 46.837778)
Lamb Weston - Pasco,2016,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Pasco,Franklin,Ecology: Eastern Regional Office,42188,0,42144,20,24,0,0,0,0,,2,"(46.288137, -119.115336)",POINT (-119.115336 46.288137)
Frederickson Power LP - Tacoma,2018,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,270097,0,269823,125,149,0,0,0,0,,3,"(47.086342, -122.365686)",POINT (-122.36568599999998 47.086342)
Northwest Hardwoods Inc. - Centralia,2012,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Centralia,Lewis,Southwest Clean Air Agency,13136,7186,5787,64,99,0,0,0,0,,1,"(46.734454, -122.991963)",POINT (-122.99196300000001 46.734454)
Northwest Pipeline C/S - Mount Vernon,2017,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Mount Vernon,Skagit,Northwest Clean Air Agency,62345,0,60027,2284,34,0,0,0,0,,2,"(48.421967, -122.21547)",POINT (-122.21547000000001 48.421967)
"UPS Fuel Services, Inc.",2019,Transportation Fuel Supplier,Transportation Fuel Supplier,492110,Couriers and Express Delivery Services,"UPS, Inc.",NA,NA,NA,38302,0,38302,0,0,0,0,0,0,,,,
McCain Foods - Othello,2017,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",McCain USA Inc.,Othello,Adams,Ecology: Eastern Regional Office,63045,0,40134,22889,23,0,0,0,0,,2,"(46.840102, -119.172705)",POINT (-119.17270500000001 46.840102)
Northwest Hardwoods Inc. - Longview,2020,Wood Products,Lumber Mills,321113,Sawmills,American Industrial Partners (AIP),Longview,Cowlitz,Southwest Clean Air Agency,11353,6529,4731,15,77,0,0,0,0,,1,"(46.114537, -122.916806)",POINT (-122.91680600000001 46.114537)
Shell Puget Sound Refinery - Anacortes,2014,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Shell Petroleum Inc.,Anacortes,Skagit,Northwest Clean Air Agency,1808001,0,1797549,6517,3934,0,0,0,0,,4,"(48.470931, -122.559161)",POINT (-122.559161 48.470931)
Phillips 66 Ferndale Refinery - Ferndale,2016,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Phillips 66 Company,Ferndale,Whatcom,Northwest Clean Air Agency,767579,0,763957,1728,1894,0,0,0,0,,3,"(48.830142, -122.692114)",POINT (-122.69211400000002 48.830142)
J.R. Simplot Company - Othello,2019,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Othello,Adams,Ecology: Eastern Regional Office,92473,0,49806,42639,28,0,0,0,0,,2,"(46.837778, -119.176389)",POINT (-119.17638900000001 46.837778)
Northwest Pipeline C/S - Goldendale,2013,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Goldendale,Klickitat,Ecology: Central Regional Office,35893,0,29936,5941,17,0,0,0,0,,2,"(45.771216, -120.799267)",POINT (-120.799267 45.771216)
Albina Fuel Co,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Albina Fuel Co.,NA,NA,NA,38462,0,38462,0,0,0,0,0,0,,,,
Cowlitz County Headquarters Landfill - Castle Rock,2015,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County,Castle Rock,Cowlitz,Southwest Clean Air Agency,190202,2097,0,188098,7,0,0,0,0,,3,"(46.246902, -122.772284)",POINT (-122.772284 46.246902)
The Boeing Company - Auburn Site - Auburn,2019,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,The Boeing Company,Auburn,King,Puget Sound Clean Air Agency,36795,0,36758,17,21,0,0,0,0,,2,"(47.285551, -122.242298)",POINT (-122.242298 47.285551)
Frito Lay - Vancouver,2013,Food Production,Other Food Products,311919,Other Snack Food Manufacturing,PepsiCo Inc,Vancouver,Clark,Southwest Clean Air Agency,15212,0,15196,7,9,0,0,0,0,,1,"(45.657037, -122.692)",POINT (-122.692 45.657037)
Inland Empire Paper Company - Spokane,2013,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Cowles Publishing Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,28038,18131,9501,159,247,0,0,0,0,,2,"(47.688295, -117.279323)",POINT (-117.279323 47.688295)
WestRock LLC - Longview,2020,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Westrock Corp.,Longview,Cowlitz,Ecology: Industrial Section,1541833,1346048,189259,1280,5246,0,0,0,0,,4,"(46.10361, -122.92167)",POINT (-122.92167 46.10361)
US Army Joint Base Lewis-McChord - Pierce Co.,2019,Government,National Security,928110,National Security,US Government,Joint Base Lewis-McChord,Pierce,Puget Sound Clean Air Agency,74601,0,57927,16640,34,0,0,0,0,,2,"(47.1142, -122.5365)",POINT (-122.53650000000002 47.1142)
Shell Puget Sound Refinery - Anacortes,2012,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Shell Petroleum Inc.,Anacortes,Skagit,Northwest Clean Air Agency,2105172,0,2093437,7092,4643,0,0,0,0,,5,"(48.470931, -122.559161)",POINT (-122.559161 48.470931)
McKinley Paper Co. - Washington Mill - Port Angeles,2014,Pulp and Paper,Other Pulp and Paper,322121,Paper (except Newsprint) Mills,Nippon Paper Industries USA Co Ltd,Port Angeles,Clallam,Olympic Region Clean Air Agency,148223,139332,2696,4595,1600,0,0,0,0,,3,"(48.134623, -123.467524)",POINT (-123.46752400000001 48.134623)
Alcoa Intalco Works - Ferndale,2016,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Ferndale,Whatcom,Ecology: Industrial Section,1261364,0,376843,10069,33,0,874420,0,0,PFC emissions based on old source test information.,4,"(48.8455, -122.7055)",POINT (-122.70549999999999 48.8455)
Vitol Inc.,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Vitol Inc,NA,NA,NA,466188,27546,438642,0,0,0,0,0,0,,,,
The Boeing Company - Auburn Site - Auburn,2016,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,The Boeing Company,Auburn,King,Puget Sound Clean Air Agency,36033,0,35996,17,20,0,0,0,0,,2,"(47.285551, -122.242298)",POINT (-122.242298 47.285551)
U.S. Oil & Refining Co.,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,32411,Petroleum Refineries,Trailstone L.P.,NA,NA,NA,1177990,0,1177990,0,0,0,0,0,0,,,,
TransAlta Centralia Generation LLC - Centralia,2018,Power Plants,Coal Plants,221112,Fossil Fuel Electric Power Generation,Transalta Centralia Generation/Mining,Centralia,Lewis,Southwest Clean Air Agency,6097084,0,6049290,17482,30312,0,0,0,0,,5,"(46.7559, -122.8578)",POINT (-122.8578 46.7559)
Ascensus Specialties LLC - Elma,2018,Chemicals,Other Chemicals,325188,All Other Basic Inorganic Chemical Manufacturing,Ascensus Specialties LLC,Elma,Grays Harbor,Olympic Region Clean Air Agency,21916,0,21893,10,12,0,0,0,0,,1,"(46.995459, -123.382316)",POINT (-123.382316 46.995459)
Hampton Lumber Mills Washington Inc. - Randle,2012,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Randle,Lewis,Southwest Clean Air Agency,50381,49302,0,421,658,0,0,0,0,,2,"(46.533743, -121.917906)",POINT (-121.91790600000002 46.533743)
"UPS Fuel Services, Inc.",2015,Transportation Fuel Supplier,Transportation Fuel Supplier,492110,Couriers and Express Delivery Services,"UPS, Inc.",NA,NA,NA,32845,0,32845,0,0,0,0,0,0,,,,
Sierra Pacific Industries - Burlington - Mount Vernon,2018,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Mount Vernon,Skagit,Northwest Clean Air Agency,291595,284091,3706,547,3251,0,0,0,0,,3,"(48.448553, -122.434613)",POINT (-122.43461299999998 48.448553)
"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",2015,Metals,Other Metals,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",Kaiser Aluminum Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,117856,0,117734,56,66,0,0,0,0,,3,"(47.687074, -117.212673)",POINT (-117.212673 47.687074)
Puget Sound Energy - Encogen Generating Station - Bellingham,2018,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Bellingham,Whatcom,Northwest Clean Air Agency,96453,0,96355,45,53,0,0,0,0,,2,"(48.746, -122.486)",POINT (-122.486 48.74600000000001)
Fairchild AFB - Spokane Co.,2020,Government,National Security,928110,National Security,US Government,Fairchild AFB,Spokane,Spokane Regional Clean Air Agency,13056,0,13042,6,7,0,0,0,0,,1,"(47.641332, -117.644832)",POINT (-117.64483200000001 47.641332)
Georgia-Pacific Gypsum LLC - Tacoma,2014,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Koch Industries Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,45663,0,45616,22,26,0,0,0,0,,2,"(47.269558, -122.394869)",POINT (-122.39486900000001 47.269558)
City of Tacoma Solid Waste Facility - Tacoma,2014,Waste,Landfills,562212,Solid Waste Landfill,City of Tacoma,Tacoma,Pierce,Puget Sound Clean Air Agency,20396,0,0,20396,0,0,0,0,0,,1,"(47.223413, -122.499775)",POINT (-122.49977500000001 47.22341300000001)
Cascade Natural Gas Corporation LDC - statewide,2013,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,MDU Resources Group Inc.,Kennewick,Benton,Benton Clean Air Agency,12940,0,70,12870,0,0,0,0,0,,1,,
Boulder Park Generating Station - Spokane Valley,2019,Power Plants,"Other Power, Heating, or Cooling Plants",221112,Fossil Fuel Electric Power Generation,Avista Corp.,Spokane Valley,Spokane,Spokane Regional Clean Air Agency,32387,0,32353,15,18,0,0,0,0,,2,"(47.696999, -117.147223)",POINT (-117.147223 47.696999)
King County Solid Waste Cedar Hills Landfill - Maple Valley,2015,Waste,Landfills,562212,Solid Waste Landfill,King County Solid Waste Division,Maple Valley,King,Puget Sound Clean Air Agency,74823,0,176,74648,0,0,0,0,0,Assigned emissions level: reported under obsolete method.,2,"(47.462625, -122.046025)",POINT (-122.046025 47.462625)
Puget Sound Energy - Sumas Generating Station - Sumas,2019,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Sumas,Whatcom,Northwest Clean Air Agency,227714,0,227483,106,126,0,0,0,0,,3,"(48.9905, -122.2733)",POINT (-122.27329999999999 48.9905)
"Vaagen Bros. Lumber, Inc. - Colville",2020,Wood Products,Lumber Mills,321113,Sawmills,Vaagen Bros. Lumber Inc.,Colville,Stevens,Ecology: Eastern Regional Office,45471,44872,0,86,513,0,0,0,0,,2,"(48.548525, -117.915469)",POINT (-117.91546900000002 48.548525)
Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,2012,Chemicals,Fertilizer Production,325311,Nitrogenous Fertilizer Manufacturing,Agrium US Inc.,Kennewick,Benton,Benton Clean Air Agency,146926,0,7759,1,139167,0,0,0,0,,3,"(46.165957, -119.017218)",POINT (-119.017218 46.165957000000006)
Darigold - Sunnyside,2020,Food Production,Dairy Products,311513,Cheese Manufacturing,Darigold Inc.,Sunnyside,Yakima,Yakima Regional Clean Air Agency,40732,0,40690,19,23,0,0,0,0,,2,"(46.30058, -120.015675)",POINT (-120.01567500000002 46.30058)
"UPS Fuel Services, Inc.",2016,Transportation Fuel Supplier,Transportation Fuel Supplier,492110,Couriers and Express Delivery Services,"UPS, Inc.",NA,NA,NA,33450,0,33450,0,0,0,0,0,0,,,,
"Hartland Fuel Products, LLC dba HTP Energy",2020,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),A.L.M. Holding Company,NA,NA,NA,14382,0,14382,0,0,0,0,0,0,First year reporting.,,,
Hampton Lumber Mills Washington Inc. - Morton,2020,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Morton,Lewis,Southwest Clean Air Agency,37393,36899,1,71,422,0,0,0,0,,2,"(46.565997, -122.269573)",POINT (-122.269573 46.565997)
Green Plains Trade Group LLC,2013,Transportation Fuel Supplier,Transportation Fuel Supplier,425120,Wholesale Trade Agents and Brokers,Green Plains Inc,NA,NA,NA,228519,228519,0,0,0,0,0,0,0,,,,
Graymont Western US. Inc. - Tacoma,2015,Minerals,Lime Production,327410,Lime Manufacturing,"Graymont, Inc.",Tacoma,Pierce,Puget Sound Clean Air Agency,76402,0,76345,23,34,0,0,0,0,,2,"(47.271365, -122.397262)",POINT (-122.39726200000001 47.271365)
Equilon Enterprises LLC dba Shell Oil Products US,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Shell Petroleum Inc.,NA,NA,NA,3813545,0,3813545,0,0,0,0,0,0,,,,
Ascent Aviation Group Inc,2020,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"World Fuel Services, Corp",NA,NA,NA,39153,0,39153,0,0,0,0,0,0,,,,
PacifiCorp Energy - Chehalis Generation Facility - Chehalis,2018,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Berkshire Hathaway,Chehalis,Lewis,EFSEC,694176,0,693471,322,383,0,0,0,0,,3,"(46.6226, -122.9145)",POINT (-122.91449999999999 46.6226)
Northwest Pipeline C/S - Chehalis,2015,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Chehalis,Lewis,Southwest Clean Air Agency,29670,0,28001,1654,16,0,0,0,0,,2,"(46.533325, -122.87373)",POINT (-122.87373000000001 46.533325)
Frederickson Power LP - Tacoma,2019,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,514505,0,513983,238,284,0,0,0,0,,3,"(47.086342, -122.365686)",POINT (-122.36568599999998 47.086342)
McKinley Paper Co. - Washington Mill - Port Angeles,2012,Pulp and Paper,Other Pulp and Paper,322121,Paper (except Newsprint) Mills,Nippon Paper Industries USA Co Ltd,Port Angeles,Clallam,Olympic Region Clean Air Agency,117631,109231,1724,5214,1462,0,0,0,0,,3,"(48.134623, -123.467524)",POINT (-123.46752400000001 48.134623)
CityServiceValcon LLC,2016,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"CityServiceValcon, LLC",NA,NA,NA,396231,17935,378296,0,0,0,0,0,0,,,,
Darigold - Sunnyside,2019,Food Production,Dairy Products,311513,Cheese Manufacturing,Darigold Inc.,Sunnyside,Yakima,Yakima Regional Clean Air Agency,42702,0,42658,20,24,0,0,0,0,,2,"(46.30058, -120.015675)",POINT (-120.01567500000002 46.30058)
Cathcart Landfill - Snohomish,2020,Waste,Landfills,562111,Solid Waste Collection,Snohomish County,Snohomish,Snohomish,Puget Sound Clean Air Agency,11396,0,251,11145,0,0,0,0,0,,1,"(47.870014, -122.118284)",POINT (-122.11828399999999 47.870014)
Marathon Anacortes Refinery - Anacortes,2013,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Marathon Petroleum Corp,Anacortes,Skagit,Northwest Clean Air Agency,1177514,0,1166166,7322,4025,0,0,0,0,,4,"(48.493816, -122.564845)",POINT (-122.564845 48.493816)
